person,image,pixel_0,pixel_1,pixel_2,pixel_3,pixel_4,pixel_5,pixel_6,pixel_7,pixel_8,pixel_9,pixel_10,pixel_11,pixel_12,pixel_13,pixel_14,pixel_15,pixel_16,pixel_17,pixel_18,pixel_19,pixel_20,pixel_21,pixel_22,pixel_23,pixel_24,pixel_25,pixel_26,pixel_27,pixel_28,pixel_29,pixel_30,pixel_31,pixel_32,pixel_33,pixel_34,pixel_35,pixel_36,pixel_37,pixel_38,pixel_39,pixel_40,pixel_41,pixel_42,pixel_43,pixel_44,pixel_45,pixel_46,pixel_47,pixel_48,pixel_49,pixel_50,pixel_51,pixel_52,pixel_53,pixel_54,pixel_55,pixel_56,pixel_57,pixel_58,pixel_59,pixel_60,pixel_61,pixel_62,pixel_63,pixel_64,pixel_65,pixel_66,pixel_67,pixel_68,pixel_69,pixel_70,pixel_71,pixel_72,pixel_73,pixel_74,pixel_75,pixel_76,pixel_77,pixel_78,pixel_79,pixel_80,pixel_81,pixel_82,pixel_83,pixel_84,pixel_85,pixel_86,pixel_87,pixel_88,pixel_89,pixel_90,pixel_91,pixel_92,pixel_93,pixel_94,pixel_95,pixel_96,pixel_97,pixel_98,pixel_99,pixel_100,pixel_101,pixel_102,pixel_103,pixel_104,pixel_105,pixel_106,pixel_107,pixel_108,pixel_109,pixel_110,pixel_111,pixel_112,pixel_113,pixel_114,pixel_115,pixel_116,pixel_117,pixel_118,pixel_119,pixel_120,pixel_121,pixel_122,pixel_123,pixel_124,pixel_125,pixel_126,pixel_127,pixel_128,pixel_129,pixel_130,pixel_131,pixel_132,pixel_133,pixel_134,pixel_135,pixel_136,pixel_137,pixel_138,pixel_139,pixel_140,pixel_141,pixel_142,pixel_143,pixel_144,pixel_145,pixel_146,pixel_147,pixel_148,pixel_149,pixel_150,pixel_151,pixel_152,pixel_153,pixel_154,pixel_155,pixel_156,pixel_157,pixel_158,pixel_159,pixel_160,pixel_161,pixel_162,pixel_163,pixel_164,pixel_165,pixel_166,pixel_167,pixel_168,pixel_169,pixel_170,pixel_171,pixel_172,pixel_173,pixel_174,pixel_175,pixel_176,pixel_177,pixel_178,pixel_179,pixel_180,pixel_181,pixel_182,pixel_183,pixel_184,pixel_185,pixel_186,pixel_187,pixel_188,pixel_189,pixel_190,pixel_191,pixel_192,pixel_193,pixel_194,pixel_195,pixel_196,pixel_197,pixel_198,pixel_199,pixel_200,pixel_201,pixel_202,pixel_203,pixel_204,pixel_205,pixel_206,pixel_207,pixel_208,pixel_209,pixel_210,pixel_211,pixel_212,pixel_213,pixel_214,pixel_215,pixel_216,pixel_217,pixel_218,pixel_219,pixel_220,pixel_221,pixel_222,pixel_223,pixel_224,pixel_225,pixel_226,pixel_227,pixel_228,pixel_229,pixel_230,pixel_231,pixel_232,pixel_233,pixel_234,pixel_235,pixel_236,pixel_237,pixel_238,pixel_239,pixel_240,pixel_241,pixel_242,pixel_243,pixel_244,pixel_245,pixel_246,pixel_247,pixel_248,pixel_249,pixel_250,pixel_251,pixel_252,pixel_253,pixel_254,pixel_255
surprised,surprised.jpeg,400.0,1946.0,1953.0,1560.0,1431.0,955.0,820.0,761.0,804.0,914.0,1066.0,828.0,703.0,621.0,541.0,547.0,451.0,439.0,476.0,453.0,401.0,475.0,447.0,404.0,402.0,396.0,403.0,393.0,389.0,368.0,394.0,426.0,479.0,467.0,512.0,613.0,755.0,978.0,911.0,1073.0,1209.0,1294.0,1450.0,1740.0,1874.0,1832.0,2047.0,2221.0,2540.0,2598.0,2778.0,2315.0,2715.0,2592.0,2622.0,2811.0,2398.0,2484.0,2599.0,2556.0,2699.0,2962.0,3133.0,3150.0,3809.0,3306.0,3210.0,3381.0,3342.0,3497.0,3678.0,3565.0,3517.0,3715.0,3492.0,3496.0,3515.0,3659.0,3539.0,3861.0,3685.0,3556.0,3398.0,3373.0,3433.0,3625.0,3553.0,3251.0,3236.0,3108.0,3167.0,3441.0,3354.0,3114.0,2973.0,3008.0,3108.0,2879.0,2549.0,2912.0,3233.0,3198.0,3365.0,3520.0,2967.0,3701.0,3504.0,2772.0,2484.0,2547.0,2633.0,2643.0,2762.0,2646.0,2472.0,2670.0,2692.0,2799.0,2826.0,2825.0,3001.0,3224.0,3268.0,3580.0,3756.0,3951.0,3922.0,4253.0,3928.0,4172.0,4394.0,4397.0,4228.0,4347.0,4639.0,4647.0,4750.0,4594.0,4423.0,4311.0,4500.0,4550.0,4765.0,5383.0,5161.0,4965.0,6116.0,6171.0,6351.0,6652.0,7017.0,8719.0,7453.0,8226.0,8470.0,5786.0,5810.0,5661.0,5988.0,5673.0,5806.0,5734.0,6346.0,7151.0,8320.0,8743.0,10047.0,10768.0,11286.0,11393.0,10577.0,12862.0,14307.0,12886.0,13060.0,15520.0,13523.0,14203.0,17898.0,18545.0,16784.0,22159.0,20102.0,19304.0,24920.0,16008.0,15099.0,19794.0,10239.0,8258.0,10607.0,8513.0,8141.0,9691.0,8262.0,8699.0,11265.0,13195.0,15587.0,14052.0,10678.0,13502.0,12241.0,7336.0,5624.0,5955.0,5008.0,5218.0,5765.0,6006.0,6391.0,8132.0,9241.0,9999.0,10639.0,8215.0,7744.0,8259.0,7118.0,6571.0,6950.0,6767.0,6401.0,7102.0,6551.0,6000.0,6367.0,4692.0,4395.0,4802.0,4366.0,4098.0,3786.0,3331.0,2638.0,2144.0,1424.0,1348.0,1076.0,807.0,647.0,635.0,656.0,589.0,772.0,501.0,501.0,289.0,60.0,37.0,13.0,7.0,6.0,4.0,2.0,0.0
surprised,surprised.jpeg,130418.0,1916.0,1940.0,1596.0,1488.0,970.0,827.0,804.0,774.0,903.0,1064.0,918.0,675.0,626.0,598.0,537.0,482.0,508.0,478.0,467.0,432.0,460.0,427.0,440.0,410.0,380.0,431.0,399.0,416.0,420.0,384.0,460.0,492.0,497.0,518.0,614.0,711.0,961.0,913.0,1077.0,1169.0,1369.0,1392.0,1705.0,1826.0,1765.0,2005.0,2141.0,2414.0,2485.0,2572.0,2273.0,2470.0,2445.0,2426.0,2559.0,2220.0,2388.0,2487.0,2367.0,2577.0,2812.0,2953.0,3091.0,3617.0,3255.0,3016.0,3111.0,3160.0,3317.0,3473.0,3399.0,3295.0,3632.0,3381.0,3226.0,3364.0,3465.0,3425.0,3669.0,3456.0,3414.0,3112.0,3212.0,3259.0,3486.0,3188.0,3114.0,2947.0,2852.0,2889.0,3267.0,3045.0,2943.0,2797.0,3010.0,2837.0,2686.0,2474.0,2679.0,2965.0,3046.0,3330.0,3367.0,2868.0,3489.0,3273.0,2464.0,2478.0,2397.0,2429.0,2480.0,2429.0,2450.0,2430.0,2469.0,2522.0,2527.0,2630.0,2635.0,2792.0,2913.0,2979.0,3250.0,3486.0,3654.0,3730.0,3729.0,3736.0,3787.0,3922.0,3857.0,3871.0,3900.0,4033.0,4141.0,4232.0,4088.0,3932.0,3716.0,3754.0,3934.0,4095.0,4402.0,4368.0,4447.0,5252.0,5641.0,5643.0,6227.0,6523.0,8192.0,6991.0,7654.0,7699.0,5244.0,5225.0,5140.0,5312.0,5205.0,5083.0,5168.0,5721.0,6525.0,7796.0,8053.0,9070.0,9742.0,10157.0,10346.0,9301.0,10772.0,12472.0,10948.0,11454.0,12692.0,9794.0,10666.0,12990.0,12878.0,12709.0,17208.0,16534.0,15351.0,20157.0,13942.0,13447.0,16877.0,8226.0,6712.0,9298.0,7434.0,7635.0,9063.0,7379.0,8231.0,10566.0,12566.0,15069.0,13319.0,10139.0,12778.0,11505.0,6462.0,4441.0,4154.0,3961.0,4231.0,5036.0,5301.0,5685.0,6947.0,7895.0,8632.0,8979.0,7329.0,6867.0,7660.0,6621.0,6058.0,6593.0,6475.0,6148.0,6853.0,6377.0,5984.0,6325.0,4664.0,4349.0,4775.0,4367.0,4084.0,3765.0,3336.0,2664.0,2109.0,1394.0,1334.0,1090.0,805.0,648.0,628.0,641.0,609.0,760.0,516.0,503.0,289.0,54.0,23.0,9.0,4.0,4.0,1.0,0.0,0.0
surprised,surprised.jpeg,400.0,1946.0,1953.0,1560.0,1431.0,955.0,820.0,761.0,804.0,914.0,1066.0,828.0,703.0,621.0,541.0,547.0,451.0,439.0,476.0,453.0,401.0,475.0,447.0,404.0,402.0,396.0,403.0,393.0,389.0,368.0,394.0,426.0,479.0,467.0,512.0,613.0,755.0,978.0,911.0,1073.0,1209.0,1294.0,1450.0,1740.0,1874.0,1832.0,2047.0,2221.0,2540.0,2598.0,2778.0,2315.0,2715.0,2592.0,2622.0,2811.0,2398.0,2484.0,2599.0,2556.0,2699.0,2962.0,3133.0,3150.0,3809.0,3306.0,3210.0,3381.0,3342.0,3497.0,3678.0,3565.0,3517.0,3715.0,3492.0,3496.0,3515.0,3659.0,3539.0,3861.0,3685.0,3556.0,3398.0,3373.0,3433.0,3625.0,3553.0,3251.0,3236.0,3108.0,3167.0,3441.0,3354.0,3114.0,2973.0,3008.0,3108.0,2879.0,2549.0,2912.0,3233.0,3198.0,3365.0,3520.0,2967.0,3701.0,3504.0,2772.0,2484.0,2547.0,2633.0,2643.0,2762.0,2646.0,2472.0,2670.0,2692.0,2799.0,2826.0,2825.0,3001.0,3224.0,3268.0,3580.0,3756.0,3951.0,3922.0,4253.0,3928.0,4172.0,4394.0,4397.0,4228.0,4347.0,4639.0,4647.0,4750.0,4594.0,4423.0,4311.0,4500.0,4550.0,4765.0,5383.0,5161.0,4965.0,6116.0,6171.0,6351.0,6652.0,7017.0,8719.0,7453.0,8226.0,8470.0,5786.0,5810.0,5661.0,5988.0,5673.0,5806.0,5734.0,6346.0,7151.0,8320.0,8743.0,10047.0,10768.0,11286.0,11393.0,10577.0,12862.0,14307.0,12886.0,13060.0,15520.0,13523.0,14203.0,17898.0,18545.0,16784.0,22159.0,20102.0,19304.0,24920.0,16008.0,15099.0,19794.0,10239.0,8258.0,10607.0,8513.0,8141.0,9691.0,8262.0,8699.0,11265.0,13195.0,15587.0,14052.0,10678.0,13502.0,12241.0,7336.0,5624.0,5955.0,5008.0,5218.0,5765.0,6006.0,6391.0,8132.0,9241.0,9999.0,10639.0,8215.0,7744.0,8259.0,7118.0,6571.0,6950.0,6767.0,6401.0,7102.0,6551.0,6000.0,6367.0,4692.0,4395.0,4802.0,4366.0,4098.0,3786.0,3331.0,2638.0,2144.0,1424.0,1348.0,1076.0,807.0,647.0,635.0,656.0,589.0,772.0,501.0,501.0,289.0,60.0,37.0,13.0,7.0,6.0,4.0,2.0,0.0
surprised,surprised.jpeg,449.0,24.0,30.0,33.0,24.0,29.0,27.0,30.0,23.0,34.0,32.0,48.0,55.0,104.0,195.0,225.0,283.0,259.0,540.0,420.0,391.0,371.0,377.0,517.0,313.0,332.0,381.0,346.0,438.0,376.0,508.0,808.0,894.0,1133.0,1508.0,2189.0,3223.0,5000.0,5794.0,5303.0,6766.0,7591.0,6356.0,6545.0,5998.0,5554.0,4016.0,3805.0,2858.0,2830.0,3224.0,2668.0,2596.0,2352.0,2494.0,2643.0,2493.0,2435.0,2516.0,2412.0,2462.0,2563.0,2954.0,3792.0,4658.0,7525.0,9829.0,9722.0,8689.0,8452.0,7396.0,6823.0,5311.0,3848.0,3138.0,2768.0,2467.0,2816.0,2500.0,2615.0,2556.0,2834.0,3121.0,3117.0,3283.0,3361.0,3085.0,2718.0,2464.0,2646.0,2836.0,2642.0,2824.0,2658.0,2274.0,2401.0,2425.0,3234.0,2915.0,2568.0,2559.0,2726.0,2360.0,2761.0,2408.0,2408.0,2067.0,2158.0,1902.0,1752.0,1667.0,1420.0,1489.0,1666.0,2279.0,1900.0,1704.0,1529.0,1368.0,1275.0,983.0,909.0,932.0,833.0,888.0,734.0,716.0,663.0,746.0,652.0,658.0,707.0,581.0,621.0,578.0,641.0,631.0,530.0,497.0,536.0,558.0,554.0,518.0,494.0,433.0,404.0,367.0,394.0,300.0,290.0,296.0,295.0,302.0,280.0,257.0,314.0,316.0,318.0,435.0,352.0,525.0,510.0,487.0,480.0,532.0,581.0,940.0,885.0,1595.0,3247.0,5686.0,5098.0,3879.0,2196.0,2351.0,2105.0,2192.0,2689.0,1847.0,2478.0,2193.0,3250.0,2512.0,2698.0,3357.0,3412.0,3929.0,4587.0,6159.0,7987.0,8860.0,8418.0,11050.0,10162.0,8215.0,8990.0,9226.0,6906.0,8484.0,8253.0,8489.0,8994.0,7003.0,7047.0,8556.0,3718.0,3286.0,2765.0,2673.0,3227.0,4221.0,6959.0,9131.0,8153.0,9263.0,12788.0,14940.0,20438.0,14811.0,12943.0,12859.0,13531.0,15506.0,16534.0,13816.0,12393.0,10451.0,7120.0,2696.0,2541.0,1449.0,752.0,95.0,232.0,124.0,202.0,212.0,166.0,306.0,392.0,309.0,301.0,22212.0,324.0,350.0,360.0,151.0,164.0,139.0,130.0,298.0,362.0,206.0,470.0,2709.0,58995.0
surprised,surprised.jpeg,88472.0,11.0,10.0,18.0,10.0,6.0,36.0,18.0,24.0,14.0,16.0,22.0,30.0,68.0,181.0,200.0,237.0,222.0,277.0,248.0,280.0,256.0,312.0,392.0,238.0,259.0,302.0,253.0,352.0,375.0,460.0,711.0,818.0,1080.0,1477.0,2172.0,3175.0,4933.0,5711.0,5252.0,6586.0,7556.0,6267.0,6447.0,5892.0,5567.0,3930.0,3732.0,2777.0,2767.0,3170.0,2612.0,2432.0,2273.0,2460.0,2621.0,2358.0,2399.0,2492.0,2340.0,2387.0,2530.0,2822.0,3646.0,4525.0,7208.0,9408.0,9555.0,8540.0,8267.0,7390.0,6770.0,5221.0,3692.0,3086.0,2639.0,2359.0,2640.0,2360.0,2411.0,2402.0,2426.0,2456.0,2487.0,2512.0,2704.0,2484.0,2416.0,2357.0,2412.0,2732.0,2509.0,2771.0,2522.0,2243.0,2254.0,2346.0,3053.0,2821.0,2469.0,2409.0,2300.0,2112.0,2313.0,2003.0,1969.0,1778.0,1817.0,1603.0,1486.0,1333.0,1280.0,1314.0,1532.0,2155.0,1756.0,1667.0,1445.0,1383.0,1163.0,969.0,936.0,897.0,871.0,786.0,680.0,709.0,621.0,664.0,662.0,690.0,653.0,599.0,581.0,578.0,609.0,579.0,524.0,491.0,482.0,485.0,421.0,400.0,395.0,321.0,305.0,298.0,271.0,278.0,225.0,285.0,262.0,254.0,220.0,227.0,214.0,200.0,227.0,227.0,252.0,222.0,301.0,257.0,307.0,290.0,386.0,648.0,624.0,1246.0,1524.0,2335.0,1706.0,2365.0,1538.0,1895.0,1952.0,2098.0,2593.0,1824.0,2360.0,2186.0,3067.0,2472.0,2632.0,3177.0,3237.0,3839.0,4514.0,6090.0,7948.0,8727.0,8393.0,10888.0,10076.0,8190.0,8853.0,9192.0,6903.0,8302.0,8103.0,8356.0,8539.0,6410.0,6342.0,8038.0,3424.0,2557.0,2585.0,2467.0,3145.0,4123.0,6936.0,9182.0,8153.0,9214.0,12867.0,14830.0,20427.0,14742.0,12789.0,12188.0,12721.0,14747.0,15686.0,12104.0,10786.0,9023.0,4877.0,595.0,313.0,48.0,30.0,38.0,35.0,48.0,35.0,54.0,49.0,88.0,216.0,308.0,425.0,15794.0,460.0,320.0,241.0,118.0,88.0,70.0,62.0,96.0,196.0,180.0,434.0,2011.0,35158.0
surprised,surprised.jpeg,449.0,24.0,30.0,33.0,24.0,29.0,27.0,30.0,23.0,34.0,32.0,48.0,55.0,104.0,195.0,225.0,283.0,259.0,540.0,420.0,391.0,371.0,377.0,517.0,313.0,332.0,381.0,346.0,438.0,376.0,508.0,808.0,894.0,1133.0,1508.0,2189.0,3223.0,5000.0,5794.0,5303.0,6766.0,7591.0,6356.0,6545.0,5998.0,5554.0,4016.0,3805.0,2858.0,2830.0,3224.0,2668.0,2596.0,2352.0,2494.0,2643.0,2493.0,2435.0,2516.0,2412.0,2462.0,2563.0,2954.0,3792.0,4658.0,7525.0,9829.0,9722.0,8689.0,8452.0,7396.0,6823.0,5311.0,3848.0,3138.0,2768.0,2467.0,2816.0,2500.0,2615.0,2556.0,2834.0,3121.0,3117.0,3283.0,3361.0,3085.0,2718.0,2464.0,2646.0,2836.0,2642.0,2824.0,2658.0,2274.0,2401.0,2425.0,3234.0,2915.0,2568.0,2559.0,2726.0,2360.0,2761.0,2408.0,2408.0,2067.0,2158.0,1902.0,1752.0,1667.0,1420.0,1489.0,1666.0,2279.0,1900.0,1704.0,1529.0,1368.0,1275.0,983.0,909.0,932.0,833.0,888.0,734.0,716.0,663.0,746.0,652.0,658.0,707.0,581.0,621.0,578.0,641.0,631.0,530.0,497.0,536.0,558.0,554.0,518.0,494.0,433.0,404.0,367.0,394.0,300.0,290.0,296.0,295.0,302.0,280.0,257.0,314.0,316.0,318.0,435.0,352.0,525.0,510.0,487.0,480.0,532.0,581.0,940.0,885.0,1595.0,3247.0,5686.0,5098.0,3879.0,2196.0,2351.0,2105.0,2192.0,2689.0,1847.0,2478.0,2193.0,3250.0,2512.0,2698.0,3357.0,3412.0,3929.0,4587.0,6159.0,7987.0,8860.0,8418.0,11050.0,10162.0,8215.0,8990.0,9226.0,6906.0,8484.0,8253.0,8489.0,8994.0,7003.0,7047.0,8556.0,3718.0,3286.0,2765.0,2673.0,3227.0,4221.0,6959.0,9131.0,8153.0,9263.0,12788.0,14940.0,20438.0,14811.0,12943.0,12859.0,13531.0,15506.0,16534.0,13816.0,12393.0,10451.0,7120.0,2696.0,2541.0,1449.0,752.0,95.0,232.0,124.0,202.0,212.0,166.0,306.0,392.0,309.0,301.0,22212.0,324.0,350.0,360.0,151.0,164.0,139.0,130.0,298.0,362.0,206.0,470.0,2709.0,58995.0
surprised,surprised.jpeg,73.0,79.0,101.0,160.0,284.0,389.0,481.0,636.0,651.0,744.0,738.0,754.0,790.0,812.0,819.0,865.0,916.0,968.0,1026.0,1003.0,1021.0,1140.0,1172.0,1254.0,1366.0,1466.0,1532.0,1557.0,1599.0,1672.0,1676.0,1900.0,1842.0,1923.0,1675.0,1709.0,1689.0,1794.0,1769.0,1848.0,1969.0,2042.0,2311.0,2487.0,2732.0,2934.0,3237.0,3535.0,3928.0,4138.0,4630.0,4989.0,5334.0,5081.0,5123.0,5060.0,4657.0,4206.0,4054.0,3922.0,3876.0,3754.0,3612.0,3368.0,3040.0,2932.0,2800.0,2765.0,2875.0,3787.0,4169.0,4959.0,6336.0,7744.0,7695.0,7920.0,7100.0,6273.0,5820.0,5333.0,4460.0,4078.0,4284.0,4358.0,4715.0,4136.0,3681.0,3959.0,4033.0,3456.0,2840.0,2466.0,1803.0,1623.0,1606.0,2010.0,2877.0,2923.0,2600.0,2280.0,1222.0,844.0,447.0,364.0,294.0,340.0,314.0,353.0,393.0,383.0,396.0,414.0,398.0,430.0,455.0,450.0,515.0,532.0,518.0,523.0,576.0,650.0,617.0,691.0,751.0,732.0,817.0,732.0,845.0,904.0,988.0,1134.0,1493.0,1749.0,2062.0,3324.0,3449.0,2995.0,3770.0,4726.0,6837.0,7947.0,8376.0,8506.0,9575.0,13539.0,16376.0,16302.0,21504.0,22822.0,22886.0,25599.0,31504.0,27859.0,27652.0,25481.0,23147.0,17146.0,14215.0,13040.0,12321.0,12257.0,11119.0,11024.0,11788.0,8742.0,6923.0,5494.0,3726.0,3154.0,3342.0,2452.0,2523.0,2202.0,1603.0,1027.0,490.0,354.0,334.0,340.0,307.0,287.0,285.0,299.0,270.0,261.0,286.0,274.0,267.0,265.0,309.0,258.0,284.0,261.0,306.0,367.0,387.0,410.0,513.0,815.0,1019.0,1102.0,1059.0,1335.0,1329.0,1367.0,1394.0,1572.0,1531.0,1705.0,1803.0,2015.0,2407.0,3282.0,3582.0,4192.0,3810.0,3514.0,3898.0,3787.0,3919.0,4382.0,4603.0,4978.0,3533.0,2901.0,1920.0,1348.0,1105.0,993.0,877.0,1045.0,1283.0,1174.0,1195.0,890.0,586.0,365.0,271.0,135.0,73.0,30.0,24.0,15.0,6.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
surprised,surprised.jpeg,92529.0,46.0,86.0,142.0,238.0,377.0,475.0,630.0,674.0,751.0,766.0,689.0,755.0,803.0,826.0,882.0,906.0,930.0,1026.0,1039.0,1009.0,1089.0,1181.0,1303.0,1445.0,1509.0,1542.0,1671.0,1662.0,1625.0,1857.0,1942.0,1882.0,1887.0,1792.0,1744.0,1744.0,1711.0,1747.0,1843.0,1846.0,2048.0,2252.0,2573.0,2667.0,2847.0,3184.0,3597.0,3859.0,4175.0,4626.0,4991.0,5339.0,5185.0,5103.0,4951.0,4540.0,4148.0,3929.0,3805.0,3769.0,3573.0,3464.0,3249.0,2849.0,2587.0,2532.0,2287.0,2332.0,3000.0,3175.0,3835.0,5015.0,6050.0,5953.0,6101.0,4954.0,4657.0,4191.0,4029.0,3559.0,3327.0,3404.0,3461.0,3737.0,3216.0,3025.0,2961.0,3106.0,2745.0,2443.0,2024.0,1691.0,1615.0,1531.0,2072.0,2832.0,2880.0,2662.0,2242.0,1227.0,825.0,417.0,355.0,333.0,345.0,324.0,360.0,377.0,401.0,372.0,402.0,388.0,441.0,450.0,439.0,511.0,518.0,510.0,514.0,576.0,537.0,553.0,635.0,612.0,646.0,641.0,617.0,626.0,640.0,723.0,768.0,894.0,947.0,959.0,1292.0,1910.0,1707.0,2051.0,2761.0,4209.0,5459.0,6274.0,7243.0,8708.0,12324.0,14639.0,13374.0,16692.0,17773.0,18981.0,23025.0,30380.0,26812.0,26531.0,25325.0,22796.0,16897.0,13766.0,12740.0,12343.0,12299.0,11279.0,11116.0,12022.0,8997.0,7030.0,5563.0,3689.0,3088.0,3250.0,2349.0,2479.0,2153.0,1567.0,983.0,474.0,345.0,304.0,272.0,275.0,269.0,251.0,260.0,287.0,245.0,225.0,244.0,263.0,250.0,255.0,274.0,267.0,242.0,259.0,303.0,309.0,315.0,325.0,391.0,425.0,513.0,575.0,750.0,777.0,609.0,663.0,852.0,998.0,1131.0,1227.0,1464.0,1667.0,2425.0,2712.0,3259.0,3240.0,3143.0,3535.0,3453.0,3895.0,4307.0,4603.0,4950.0,3472.0,2714.0,1730.0,1118.0,965.0,863.0,801.0,968.0,1237.0,1199.0,1190.0,863.0,550.0,347.0,236.0,98.0,31.0,16.0,7.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
surprised,surprised.jpeg,73.0,79.0,101.0,160.0,284.0,389.0,481.0,636.0,651.0,744.0,738.0,754.0,790.0,812.0,819.0,865.0,916.0,968.0,1026.0,1003.0,1021.0,1140.0,1172.0,1254.0,1366.0,1466.0,1532.0,1557.0,1599.0,1672.0,1676.0,1900.0,1842.0,1923.0,1675.0,1709.0,1689.0,1794.0,1769.0,1848.0,1969.0,2042.0,2311.0,2487.0,2732.0,2934.0,3237.0,3535.0,3928.0,4138.0,4630.0,4989.0,5334.0,5081.0,5123.0,5060.0,4657.0,4206.0,4054.0,3922.0,3876.0,3754.0,3612.0,3368.0,3040.0,2932.0,2800.0,2765.0,2875.0,3787.0,4169.0,4959.0,6336.0,7744.0,7695.0,7920.0,7100.0,6273.0,5820.0,5333.0,4460.0,4078.0,4284.0,4358.0,4715.0,4136.0,3681.0,3959.0,4033.0,3456.0,2840.0,2466.0,1803.0,1623.0,1606.0,2010.0,2877.0,2923.0,2600.0,2280.0,1222.0,844.0,447.0,364.0,294.0,340.0,314.0,353.0,393.0,383.0,396.0,414.0,398.0,430.0,455.0,450.0,515.0,532.0,518.0,523.0,576.0,650.0,617.0,691.0,751.0,732.0,817.0,732.0,845.0,904.0,988.0,1134.0,1493.0,1749.0,2062.0,3324.0,3449.0,2995.0,3770.0,4726.0,6837.0,7947.0,8376.0,8506.0,9575.0,13539.0,16376.0,16302.0,21504.0,22822.0,22886.0,25599.0,31504.0,27859.0,27652.0,25481.0,23147.0,17146.0,14215.0,13040.0,12321.0,12257.0,11119.0,11024.0,11788.0,8742.0,6923.0,5494.0,3726.0,3154.0,3342.0,2452.0,2523.0,2202.0,1603.0,1027.0,490.0,354.0,334.0,340.0,307.0,287.0,285.0,299.0,270.0,261.0,286.0,274.0,267.0,265.0,309.0,258.0,284.0,261.0,306.0,367.0,387.0,410.0,513.0,815.0,1019.0,1102.0,1059.0,1335.0,1329.0,1367.0,1394.0,1572.0,1531.0,1705.0,1803.0,2015.0,2407.0,3282.0,3582.0,4192.0,3810.0,3514.0,3898.0,3787.0,3919.0,4382.0,4603.0,4978.0,3533.0,2901.0,1920.0,1348.0,1105.0,993.0,877.0,1045.0,1283.0,1174.0,1195.0,890.0,586.0,365.0,271.0,135.0,73.0,30.0,24.0,15.0,6.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
