person,image,pixel_0,pixel_1,pixel_2,pixel_3,pixel_4,pixel_5,pixel_6,pixel_7,pixel_8,pixel_9,pixel_10,pixel_11,pixel_12,pixel_13,pixel_14,pixel_15,pixel_16,pixel_17,pixel_18,pixel_19,pixel_20,pixel_21,pixel_22,pixel_23,pixel_24,pixel_25,pixel_26,pixel_27,pixel_28,pixel_29,pixel_30,pixel_31,pixel_32,pixel_33,pixel_34,pixel_35,pixel_36,pixel_37,pixel_38,pixel_39,pixel_40,pixel_41,pixel_42,pixel_43,pixel_44,pixel_45,pixel_46,pixel_47,pixel_48,pixel_49,pixel_50,pixel_51,pixel_52,pixel_53,pixel_54,pixel_55,pixel_56,pixel_57,pixel_58,pixel_59,pixel_60,pixel_61,pixel_62,pixel_63,pixel_64,pixel_65,pixel_66,pixel_67,pixel_68,pixel_69,pixel_70,pixel_71,pixel_72,pixel_73,pixel_74,pixel_75,pixel_76,pixel_77,pixel_78,pixel_79,pixel_80,pixel_81,pixel_82,pixel_83,pixel_84,pixel_85,pixel_86,pixel_87,pixel_88,pixel_89,pixel_90,pixel_91,pixel_92,pixel_93,pixel_94,pixel_95,pixel_96,pixel_97,pixel_98,pixel_99,pixel_100,pixel_101,pixel_102,pixel_103,pixel_104,pixel_105,pixel_106,pixel_107,pixel_108,pixel_109,pixel_110,pixel_111,pixel_112,pixel_113,pixel_114,pixel_115,pixel_116,pixel_117,pixel_118,pixel_119,pixel_120,pixel_121,pixel_122,pixel_123,pixel_124,pixel_125,pixel_126,pixel_127,pixel_128,pixel_129,pixel_130,pixel_131,pixel_132,pixel_133,pixel_134,pixel_135,pixel_136,pixel_137,pixel_138,pixel_139,pixel_140,pixel_141,pixel_142,pixel_143,pixel_144,pixel_145,pixel_146,pixel_147,pixel_148,pixel_149,pixel_150,pixel_151,pixel_152,pixel_153,pixel_154,pixel_155,pixel_156,pixel_157,pixel_158,pixel_159,pixel_160,pixel_161,pixel_162,pixel_163,pixel_164,pixel_165,pixel_166,pixel_167,pixel_168,pixel_169,pixel_170,pixel_171,pixel_172,pixel_173,pixel_174,pixel_175,pixel_176,pixel_177,pixel_178,pixel_179,pixel_180,pixel_181,pixel_182,pixel_183,pixel_184,pixel_185,pixel_186,pixel_187,pixel_188,pixel_189,pixel_190,pixel_191,pixel_192,pixel_193,pixel_194,pixel_195,pixel_196,pixel_197,pixel_198,pixel_199,pixel_200,pixel_201,pixel_202,pixel_203,pixel_204,pixel_205,pixel_206,pixel_207,pixel_208,pixel_209,pixel_210,pixel_211,pixel_212,pixel_213,pixel_214,pixel_215,pixel_216,pixel_217,pixel_218,pixel_219,pixel_220,pixel_221,pixel_222,pixel_223,pixel_224,pixel_225,pixel_226,pixel_227,pixel_228,pixel_229,pixel_230,pixel_231,pixel_232,pixel_233,pixel_234,pixel_235,pixel_236,pixel_237,pixel_238,pixel_239,pixel_240,pixel_241,pixel_242,pixel_243,pixel_244,pixel_245,pixel_246,pixel_247,pixel_248,pixel_249,pixel_250,pixel_251,pixel_252,pixel_253,pixel_254,pixel_255
smiling.jpeg,smiling.jpeg,3321.0,2768.0,2516.0,2212.0,2080.0,1674.0,1652.0,1511.0,1296.0,1276.0,1290.0,1193.0,1128.0,959.0,970.0,899.0,990.0,929.0,960.0,1056.0,951.0,959.0,975.0,901.0,934.0,963.0,976.0,890.0,940.0,947.0,937.0,991.0,992.0,996.0,1040.0,1109.0,1037.0,1030.0,1016.0,1123.0,1207.0,1276.0,1302.0,1308.0,1490.0,1533.0,1648.0,1827.0,1803.0,1722.0,1776.0,1982.0,2021.0,1843.0,1648.0,1662.0,1694.0,1675.0,2042.0,1702.0,1845.0,1821.0,1960.0,1953.0,1941.0,1930.0,2001.0,1992.0,1896.0,1856.0,2019.0,2276.0,2246.0,2178.0,2295.0,2408.0,2726.0,2880.0,3063.0,3271.0,3135.0,3210.0,3200.0,3221.0,3006.0,3113.0,3458.0,3495.0,3832.0,2970.0,2877.0,3136.0,2755.0,2649.0,3013.0,2668.0,2835.0,2943.0,2834.0,2853.0,2856.0,2708.0,2961.0,3303.0,3139.0,3081.0,3335.0,2586.0,2399.0,2619.0,2326.0,2379.0,2503.0,2109.0,2066.0,1965.0,2138.0,2036.0,2163.0,2170.0,2088.0,2253.0,2420.0,2435.0,2620.0,2750.0,2867.0,2971.0,3040.0,2935.0,3302.0,3088.0,2580.0,2543.0,2757.0,2664.0,2978.0,3088.0,2626.0,2682.0,3004.0,2634.0,2400.0,2402.0,2427.0,2621.0,2467.0,2329.0,2538.0,2614.0,2814.0,4427.0,4002.0,4111.0,3373.0,3189.0,3213.0,3283.0,3213.0,2886.0,3695.0,4146.0,3998.0,7048.0,5226.0,5469.0,7359.0,8086.0,6643.0,7118.0,8045.0,8029.0,11306.0,9179.0,8914.0,12366.0,10283.0,11495.0,15927.0,12822.0,15442.0,19328.0,16885.0,20737.0,22870.0,19442.0,22722.0,31556.0,28609.0,22297.0,27193.0,18413.0,15682.0,19703.0,15095.0,15818.0,18139.0,13455.0,15844.0,19216.0,12380.0,16450.0,23553.0,19286.0,16826.0,21296.0,13074.0,14145.0,14925.0,9291.0,9217.0,10707.0,7697.0,7253.0,8554.0,6442.0,6345.0,6216.0,5219.0,5447.0,6308.0,6160.0,5928.0,6184.0,5402.0,4701.0,4127.0,3354.0,2922.0,3040.0,2695.0,2574.0,2469.0,2484.0,2567.0,2842.0,2331.0,1759.0,1335.0,1026.0,789.0,545.0,354.0,238.0,178.0,121.0,140.0,115.0,91.0,109.0,112.0,133.0,164.0,178.0,254.0,364.0
smiling.jpeg,smiling.jpeg,133318.0,2731.0,2538.0,2253.0,2064.0,1688.0,1667.0,1519.0,1341.0,1280.0,1272.0,1198.0,1161.0,1010.0,997.0,944.0,911.0,990.0,969.0,1056.0,980.0,933.0,968.0,956.0,945.0,948.0,956.0,935.0,877.0,926.0,909.0,894.0,878.0,839.0,874.0,880.0,933.0,973.0,956.0,1127.0,1095.0,1200.0,1324.0,1277.0,1409.0,1411.0,1634.0,1703.0,1686.0,1627.0,1692.0,1839.0,1926.0,1783.0,1574.0,1469.0,1618.0,1576.0,1881.0,1635.0,1610.0,1618.0,1697.0,1837.0,1807.0,1714.0,1908.0,1894.0,1779.0,1735.0,1908.0,2146.0,2072.0,2075.0,2207.0,2294.0,2590.0,2675.0,3008.0,3171.0,3002.0,3076.0,3091.0,3164.0,2919.0,2844.0,3303.0,3403.0,3648.0,2904.0,2728.0,2824.0,2629.0,2545.0,2726.0,2483.0,2687.0,2703.0,2671.0,2736.0,2675.0,2638.0,2899.0,3177.0,2989.0,3019.0,3156.0,2433.0,2223.0,2138.0,2215.0,2254.0,2155.0,2021.0,1954.0,1884.0,1998.0,1938.0,2123.0,2073.0,2015.0,2093.0,2212.0,2226.0,2447.0,2535.0,2577.0,2814.0,2853.0,2834.0,3138.0,2940.0,2497.0,2472.0,2600.0,2638.0,2881.0,2971.0,2462.0,2683.0,2845.0,2460.0,2300.0,2259.0,2318.0,2383.0,2312.0,2193.0,2253.0,2249.0,2611.0,3755.0,3630.0,3841.0,3054.0,2818.0,2823.0,2642.0,2564.0,2508.0,2485.0,2828.0,3082.0,4548.0,4062.0,4295.0,6333.0,6826.0,5128.0,5071.0,5175.0,5611.0,7322.0,7057.0,7071.0,10772.0,9538.0,10898.0,14904.0,11798.0,14467.0,17621.0,15295.0,18153.0,20746.0,17875.0,21003.0,28326.0,25890.0,20285.0,23871.0,16731.0,14023.0,18429.0,14077.0,14914.0,17320.0,12728.0,14976.0,18170.0,11428.0,14976.0,21603.0,17344.0,15385.0,19775.0,11940.0,12194.0,13263.0,7963.0,7939.0,8821.0,6565.0,6089.0,7333.0,5100.0,4846.0,4329.0,4023.0,4062.0,4933.0,4454.0,4176.0,4401.0,4083.0,3627.0,3387.0,2779.0,2520.0,2513.0,2329.0,2134.0,2092.0,2128.0,2178.0,2529.0,2004.0,1597.0,1225.0,930.0,723.0,477.0,322.0,209.0,170.0,117.0,111.0,121.0,91.0,105.0,103.0,146.0,156.0,187.0,252.0,357.0
smiling.jpeg,smiling.jpeg,3321.0,2768.0,2516.0,2212.0,2080.0,1674.0,1652.0,1511.0,1296.0,1276.0,1290.0,1193.0,1128.0,959.0,970.0,899.0,990.0,929.0,960.0,1056.0,951.0,959.0,975.0,901.0,934.0,963.0,976.0,890.0,940.0,947.0,937.0,991.0,992.0,996.0,1040.0,1109.0,1037.0,1030.0,1016.0,1123.0,1207.0,1276.0,1302.0,1308.0,1490.0,1533.0,1648.0,1827.0,1803.0,1722.0,1776.0,1982.0,2021.0,1843.0,1648.0,1662.0,1694.0,1675.0,2042.0,1702.0,1845.0,1821.0,1960.0,1953.0,1941.0,1930.0,2001.0,1992.0,1896.0,1856.0,2019.0,2276.0,2246.0,2178.0,2295.0,2408.0,2726.0,2880.0,3063.0,3271.0,3135.0,3210.0,3200.0,3221.0,3006.0,3113.0,3458.0,3495.0,3832.0,2970.0,2877.0,3136.0,2755.0,2649.0,3013.0,2668.0,2835.0,2943.0,2834.0,2853.0,2856.0,2708.0,2961.0,3303.0,3139.0,3081.0,3335.0,2586.0,2399.0,2619.0,2326.0,2379.0,2503.0,2109.0,2066.0,1965.0,2138.0,2036.0,2163.0,2170.0,2088.0,2253.0,2420.0,2435.0,2620.0,2750.0,2867.0,2971.0,3040.0,2935.0,3302.0,3088.0,2580.0,2543.0,2757.0,2664.0,2978.0,3088.0,2626.0,2682.0,3004.0,2634.0,2400.0,2402.0,2427.0,2621.0,2467.0,2329.0,2538.0,2614.0,2814.0,4427.0,4002.0,4111.0,3373.0,3189.0,3213.0,3283.0,3213.0,2886.0,3695.0,4146.0,3998.0,7048.0,5226.0,5469.0,7359.0,8086.0,6643.0,7118.0,8045.0,8029.0,11306.0,9179.0,8914.0,12366.0,10283.0,11495.0,15927.0,12822.0,15442.0,19328.0,16885.0,20737.0,22870.0,19442.0,22722.0,31556.0,28609.0,22297.0,27193.0,18413.0,15682.0,19703.0,15095.0,15818.0,18139.0,13455.0,15844.0,19216.0,12380.0,16450.0,23553.0,19286.0,16826.0,21296.0,13074.0,14145.0,14925.0,9291.0,9217.0,10707.0,7697.0,7253.0,8554.0,6442.0,6345.0,6216.0,5219.0,5447.0,6308.0,6160.0,5928.0,6184.0,5402.0,4701.0,4127.0,3354.0,2922.0,3040.0,2695.0,2574.0,2469.0,2484.0,2567.0,2842.0,2331.0,1759.0,1335.0,1026.0,789.0,545.0,354.0,238.0,178.0,121.0,140.0,115.0,91.0,109.0,112.0,133.0,164.0,178.0,254.0,364.0
smiling.jpeg,smiling.jpeg,470.0,22.0,30.0,28.0,18.0,22.0,20.0,17.0,24.0,19.0,26.0,30.0,29.0,31.0,32.0,75.0,63.0,66.0,54.0,83.0,76.0,114.0,122.0,164.0,214.0,251.0,429.0,592.0,819.0,1132.0,1182.0,1276.0,1389.0,1811.0,2969.0,3703.0,4683.0,5072.0,5620.0,5259.0,5170.0,4685.0,4868.0,4349.0,3765.0,3600.0,3896.0,3417.0,3240.0,3155.0,3269.0,2666.0,2619.0,2362.0,2375.0,2396.0,2234.0,2498.0,2789.0,4111.0,6971.0,7200.0,6794.0,9738.0,6916.0,5963.0,4589.0,3695.0,2917.0,2725.0,2812.0,2644.0,2514.0,2273.0,2344.0,2130.0,2130.0,2185.0,2148.0,2276.0,2168.0,2110.0,2236.0,2340.0,2265.0,2239.0,2128.0,2123.0,2019.0,2228.0,2406.0,2431.0,2105.0,2148.0,2017.0,1994.0,2147.0,2187.0,2051.0,1919.0,1931.0,1891.0,1754.0,1642.0,1514.0,1513.0,1430.0,1339.0,1321.0,1249.0,1263.0,1212.0,1247.0,1360.0,1522.0,1578.0,1748.0,1380.0,1072.0,988.0,850.0,868.0,761.0,737.0,673.0,587.0,548.0,498.0,542.0,541.0,557.0,554.0,763.0,755.0,623.0,614.0,481.0,400.0,376.0,365.0,360.0,316.0,304.0,339.0,321.0,363.0,312.0,297.0,298.0,293.0,270.0,263.0,270.0,252.0,223.0,243.0,197.0,217.0,180.0,191.0,202.0,198.0,184.0,200.0,189.0,177.0,228.0,178.0,209.0,200.0,184.0,181.0,227.0,240.0,241.0,289.0,407.0,417.0,492.0,390.0,716.0,1024.0,1604.0,2163.0,2871.0,4589.0,4975.0,5546.0,5243.0,6899.0,6121.0,7847.0,15225.0,17317.0,11112.0,13287.0,11243.0,11661.0,11293.0,12223.0,11473.0,15448.0,20305.0,22799.0,22334.0,17456.0,14743.0,10462.0,10536.0,16845.0,12573.0,12164.0,11990.0,11491.0,12039.0,9475.0,11186.0,10539.0,13651.0,19970.0,24194.0,16611.0,11052.0,2317.0,768.0,272.0,21.0,35.0,27.0,35.0,45.0,48.0,47.0,49.0,60.0,62.0,65.0,162.0,151.0,246.0,413.0,316.0,22195.0,425.0,255.0,369.0,154.0,129.0,132.0,110.0,353.0,407.0,208.0,405.0,2619.0,59123.0
smiling.jpeg,smiling.jpeg,88473.0,10.0,6.0,8.0,14.0,4.0,34.0,13.0,24.0,6.0,11.0,20.0,30.0,28.0,24.0,65.0,74.0,53.0,58.0,73.0,79.0,81.0,116.0,155.0,169.0,246.0,411.0,599.0,794.0,1110.0,1218.0,1318.0,1375.0,1825.0,2877.0,3803.0,4650.0,5118.0,5635.0,5182.0,5213.0,4635.0,4815.0,4362.0,3824.0,3647.0,3823.0,3416.0,3221.0,3145.0,3242.0,2630.0,2651.0,2363.0,2354.0,2368.0,2294.0,2475.0,2689.0,4171.0,6884.0,7248.0,6985.0,9579.0,6927.0,5993.0,4524.0,3482.0,2749.0,2667.0,2657.0,2589.0,2358.0,2228.0,2172.0,2047.0,2041.0,2086.0,2135.0,2165.0,2062.0,2031.0,2156.0,2192.0,2097.0,2119.0,1914.0,1861.0,1761.0,1856.0,2052.0,1962.0,1699.0,1599.0,1531.0,1642.0,1648.0,1694.0,1593.0,1539.0,1502.0,1531.0,1436.0,1329.0,1202.0,1240.0,1230.0,1159.0,1197.0,1148.0,1187.0,1120.0,1140.0,1275.0,1433.0,1482.0,1651.0,1358.0,1111.0,873.0,772.0,816.0,718.0,692.0,623.0,598.0,521.0,503.0,488.0,490.0,490.0,524.0,692.0,644.0,553.0,594.0,445.0,401.0,371.0,359.0,352.0,326.0,346.0,317.0,340.0,286.0,291.0,252.0,263.0,244.0,259.0,272.0,243.0,221.0,231.0,198.0,224.0,192.0,208.0,195.0,191.0,198.0,184.0,187.0,194.0,187.0,208.0,212.0,186.0,200.0,206.0,212.0,197.0,236.0,264.0,278.0,356.0,333.0,479.0,402.0,686.0,1035.0,1608.0,2099.0,2831.0,4465.0,4920.0,5423.0,5051.0,6581.0,5820.0,7145.0,14682.0,16499.0,10542.0,12359.0,10282.0,10577.0,10083.0,10783.0,9892.0,13334.0,18306.0,19960.0,19316.0,13494.0,14090.0,10337.0,10402.0,16413.0,12247.0,11011.0,10553.0,10555.0,10461.0,9074.0,10075.0,9328.0,12101.0,17884.0,21827.0,15052.0,10470.0,2169.0,418.0,44.0,26.0,34.0,24.0,20.0,20.0,28.0,39.0,36.0,50.0,33.0,58.0,64.0,118.0,168.0,253.0,425.0,15816.0,466.0,285.0,192.0,135.0,91.0,80.0,61.0,116.0,180.0,232.0,369.0,1939.0,35271.0
smiling.jpeg,smiling.jpeg,470.0,22.0,30.0,28.0,18.0,22.0,20.0,17.0,24.0,19.0,26.0,30.0,29.0,31.0,32.0,75.0,63.0,66.0,54.0,83.0,76.0,114.0,122.0,164.0,214.0,251.0,429.0,592.0,819.0,1132.0,1182.0,1276.0,1389.0,1811.0,2969.0,3703.0,4683.0,5072.0,5620.0,5259.0,5170.0,4685.0,4868.0,4349.0,3765.0,3600.0,3896.0,3417.0,3240.0,3155.0,3269.0,2666.0,2619.0,2362.0,2375.0,2396.0,2234.0,2498.0,2789.0,4111.0,6971.0,7200.0,6794.0,9738.0,6916.0,5963.0,4589.0,3695.0,2917.0,2725.0,2812.0,2644.0,2514.0,2273.0,2344.0,2130.0,2130.0,2185.0,2148.0,2276.0,2168.0,2110.0,2236.0,2340.0,2265.0,2239.0,2128.0,2123.0,2019.0,2228.0,2406.0,2431.0,2105.0,2148.0,2017.0,1994.0,2147.0,2187.0,2051.0,1919.0,1931.0,1891.0,1754.0,1642.0,1514.0,1513.0,1430.0,1339.0,1321.0,1249.0,1263.0,1212.0,1247.0,1360.0,1522.0,1578.0,1748.0,1380.0,1072.0,988.0,850.0,868.0,761.0,737.0,673.0,587.0,548.0,498.0,542.0,541.0,557.0,554.0,763.0,755.0,623.0,614.0,481.0,400.0,376.0,365.0,360.0,316.0,304.0,339.0,321.0,363.0,312.0,297.0,298.0,293.0,270.0,263.0,270.0,252.0,223.0,243.0,197.0,217.0,180.0,191.0,202.0,198.0,184.0,200.0,189.0,177.0,228.0,178.0,209.0,200.0,184.0,181.0,227.0,240.0,241.0,289.0,407.0,417.0,492.0,390.0,716.0,1024.0,1604.0,2163.0,2871.0,4589.0,4975.0,5546.0,5243.0,6899.0,6121.0,7847.0,15225.0,17317.0,11112.0,13287.0,11243.0,11661.0,11293.0,12223.0,11473.0,15448.0,20305.0,22799.0,22334.0,17456.0,14743.0,10462.0,10536.0,16845.0,12573.0,12164.0,11990.0,11491.0,12039.0,9475.0,11186.0,10539.0,13651.0,19970.0,24194.0,16611.0,11052.0,2317.0,768.0,272.0,21.0,35.0,27.0,35.0,45.0,48.0,47.0,49.0,60.0,62.0,65.0,162.0,151.0,246.0,413.0,316.0,22195.0,425.0,255.0,369.0,154.0,129.0,132.0,110.0,353.0,407.0,208.0,405.0,2619.0,59123.0
smiling.jpeg,smiling.jpeg,461.0,1256.0,1447.0,1900.0,2462.0,2809.0,3188.0,3549.0,3693.0,3927.0,3877.0,4116.0,4313.0,4385.0,4692.0,4930.0,5131.0,5194.0,5627.0,5654.0,6173.0,6335.0,6731.0,6962.0,7279.0,7935.0,8222.0,8660.0,9068.0,9703.0,10079.0,10588.0,11204.0,11946.0,12317.0,12834.0,13474.0,14178.0,14429.0,14885.0,15500.0,15938.0,16750.0,17707.0,18477.0,19442.0,20290.0,21075.0,21629.0,22299.0,22836.0,22906.0,23519.0,23761.0,23895.0,23569.0,23067.0,22585.0,21820.0,20847.0,19876.0,19124.0,18826.0,18311.0,18244.0,17991.0,18501.0,19160.0,19948.0,21122.0,22257.0,24096.0,25743.0,27179.0,28279.0,29555.0,30455.0,30947.0,30647.0,29952.0,29544.0,28307.0,27056.0,26390.0,25515.0,24767.0,24227.0,23290.0,22057.0,21207.0,19699.0,17832.0,16333.0,14883.0,13611.0,12217.0,11698.0,11351.0,11050.0,10991.0,10749.0,9707.0,8142.0,6152.0,4609.0,3375.0,2658.0,2247.0,2016.0,1897.0,1949.0,1831.0,1898.0,1960.0,2034.0,1996.0,2116.0,2154.0,2189.0,2369.0,2400.0,2565.0,2655.0,2779.0,2777.0,2854.0,3027.0,3235.0,3449.0,3719.0,3805.0,4223.0,4460.0,4997.0,5506.0,6318.0,7238.0,7996.0,9298.0,10625.0,12389.0,14857.0,19067.0,24404.0,30928.0,37584.0,44172.0,50344.0,57434.0,66077.0,77695.0,87291.0,97501.0,107662.0,115428.0,124051.0,135333.0,148123.0,163180.0,168701.0,161035.0,145387.0,126887.0,110267.0,95591.0,85386.0,74605.0,63650.0,51796.0,39494.0,30472.0,24220.0,20147.0,16978.0,15003.0,13077.0,10138.0,7110.0,4609.0,3011.0,2005.0,1585.0,1441.0,1326.0,1214.0,1247.0,1225.0,1273.0,1237.0,1212.0,1318.0,1385.0,1298.0,1373.0,1420.0,1592.0,1678.0,1853.0,2253.0,2469.0,3159.0,3767.0,4987.0,6002.0,6992.0,7463.0,7918.0,8531.0,9251.0,10047.0,11606.0,12863.0,15203.0,18048.0,20732.0,23189.0,25255.0,25714.0,26086.0,26413.0,26691.0,27165.0,26987.0,24725.0,20667.0,15446.0,11570.0,8870.0,8135.0,8677.0,8824.0,7760.0,6032.0,3604.0,1788.0,798.0,388.0,200.0,110.0,60.0,59.0,34.0,20.0,23.0,5.0,14.0,9.0,9.0,19.0,14.0,12.0,15.0,14.0,5.0,0.0,0.0
smiling.jpeg,smiling.jpeg,522588.0,598.0,1363.0,1757.0,2372.0,2976.0,3240.0,3476.0,3684.0,3907.0,3887.0,4050.0,4312.0,4523.0,4623.0,4907.0,5015.0,5256.0,5621.0,5685.0,6178.0,6305.0,6700.0,7150.0,7350.0,7791.0,8098.0,8596.0,9103.0,9665.0,10278.0,10828.0,11483.0,11924.0,12516.0,13242.0,13720.0,14285.0,14587.0,14711.0,15470.0,15517.0,16483.0,17329.0,18115.0,19537.0,20779.0,21093.0,21842.0,22242.0,22551.0,23069.0,23569.0,23710.0,23807.0,23806.0,23181.0,22219.0,21227.0,20034.0,19036.0,17954.0,17192.0,16651.0,16408.0,16075.0,16242.0,16879.0,17220.0,17905.0,18730.0,19723.0,20674.0,21688.0,22539.0,23132.0,23475.0,23777.0,23293.0,22782.0,21881.0,20942.0,20180.0,19688.0,19253.0,18467.0,18235.0,17595.0,16921.0,16279.0,15308.0,14190.0,13143.0,12305.0,11387.0,10747.0,10435.0,10275.0,10700.0,11166.0,10833.0,9971.0,8065.0,5967.0,4065.0,2909.0,2253.0,1952.0,1867.0,1826.0,1876.0,1838.0,1924.0,1955.0,1999.0,2031.0,2114.0,2119.0,2219.0,2340.0,2425.0,2589.0,2565.0,2698.0,2645.0,2681.0,2728.0,2859.0,2887.0,2847.0,2992.0,3050.0,3176.0,3302.0,3645.0,3747.0,3942.0,4166.0,4443.0,4848.0,5316.0,6351.0,8877.0,12965.0,19114.0,26306.0,34276.0,41932.0,50962.0,60539.0,71339.0,77952.0,82295.0,86346.0,91923.0,103498.0,119452.0,137325.0,155153.0,164641.0,160004.0,144753.0,126809.0,109711.0,95090.0,84899.0,75105.0,63233.0,51642.0,38836.0,29902.0,23688.0,19322.0,16646.0,14580.0,12825.0,9947.0,6772.0,4170.0,2578.0,1764.0,1396.0,1300.0,1251.0,1088.0,1130.0,1119.0,1179.0,1135.0,1090.0,1134.0,1159.0,1162.0,1203.0,1251.0,1343.0,1396.0,1415.0,1522.0,1650.0,1770.0,2060.0,2639.0,3104.0,3722.0,3637.0,3547.0,3906.0,4339.0,5245.0,6290.0,7776.0,9468.0,11793.0,14784.0,17097.0,20013.0,22690.0,24010.0,25145.0,25384.0,26368.0,26441.0,24232.0,19948.0,14613.0,10601.0,8189.0,7589.0,8675.0,8789.0,7538.0,6088.0,3353.0,1614.0,599.0,242.0,116.0,68.0,37.0,27.0,18.0,20.0,13.0,15.0,10.0,6.0,12.0,9.0,13.0,5.0,8.0,4.0,0.0,0.0,0.0
smiling.jpeg,smiling.jpeg,461.0,1256.0,1447.0,1900.0,2462.0,2809.0,3188.0,3549.0,3693.0,3927.0,3877.0,4116.0,4313.0,4385.0,4692.0,4930.0,5131.0,5194.0,5627.0,5654.0,6173.0,6335.0,6731.0,6962.0,7279.0,7935.0,8222.0,8660.0,9068.0,9703.0,10079.0,10588.0,11204.0,11946.0,12317.0,12834.0,13474.0,14178.0,14429.0,14885.0,15500.0,15938.0,16750.0,17707.0,18477.0,19442.0,20290.0,21075.0,21629.0,22299.0,22836.0,22906.0,23519.0,23761.0,23895.0,23569.0,23067.0,22585.0,21820.0,20847.0,19876.0,19124.0,18826.0,18311.0,18244.0,17991.0,18501.0,19160.0,19948.0,21122.0,22257.0,24096.0,25743.0,27179.0,28279.0,29555.0,30455.0,30947.0,30647.0,29952.0,29544.0,28307.0,27056.0,26390.0,25515.0,24767.0,24227.0,23290.0,22057.0,21207.0,19699.0,17832.0,16333.0,14883.0,13611.0,12217.0,11698.0,11351.0,11050.0,10991.0,10749.0,9707.0,8142.0,6152.0,4609.0,3375.0,2658.0,2247.0,2016.0,1897.0,1949.0,1831.0,1898.0,1960.0,2034.0,1996.0,2116.0,2154.0,2189.0,2369.0,2400.0,2565.0,2655.0,2779.0,2777.0,2854.0,3027.0,3235.0,3449.0,3719.0,3805.0,4223.0,4460.0,4997.0,5506.0,6318.0,7238.0,7996.0,9298.0,10625.0,12389.0,14857.0,19067.0,24404.0,30928.0,37584.0,44172.0,50344.0,57434.0,66077.0,77695.0,87291.0,97501.0,107662.0,115428.0,124051.0,135333.0,148123.0,163180.0,168701.0,161035.0,145387.0,126887.0,110267.0,95591.0,85386.0,74605.0,63650.0,51796.0,39494.0,30472.0,24220.0,20147.0,16978.0,15003.0,13077.0,10138.0,7110.0,4609.0,3011.0,2005.0,1585.0,1441.0,1326.0,1214.0,1247.0,1225.0,1273.0,1237.0,1212.0,1318.0,1385.0,1298.0,1373.0,1420.0,1592.0,1678.0,1853.0,2253.0,2469.0,3159.0,3767.0,4987.0,6002.0,6992.0,7463.0,7918.0,8531.0,9251.0,10047.0,11606.0,12863.0,15203.0,18048.0,20732.0,23189.0,25255.0,25714.0,26086.0,26413.0,26691.0,27165.0,26987.0,24725.0,20667.0,15446.0,11570.0,8870.0,8135.0,8677.0,8824.0,7760.0,6032.0,3604.0,1788.0,798.0,388.0,200.0,110.0,60.0,59.0,34.0,20.0,23.0,5.0,14.0,9.0,9.0,19.0,14.0,12.0,15.0,14.0,5.0,0.0,0.0
